id,created,superceded_id,valid,pt_position_x,pt_position_y,pt_position_z,valid_id,status_dendrite,status_axon,strategy_dendrite,strategy_axon,pt_supervoxel_id,pt_root_id
2472,2024-12-07 00:25:35.527440+00:00,,True,209952,154240,18203,864691134966069023,True,True,dendrite_extended,axon_partially_extended,93602937104132201,864691134966069023
2473,2024-12-07 00:25:35.528088+00:00,,True,153120,167552,17776,864691136975332380,True,True,dendrite_extended,axon_partially_extended,85793793139750472,864691136975332380
2474,2024-12-07 00:25:35.528745+00:00,,True,175648,170752,19289,864691137199038273,True,True,dendrite_extended,axon_partially_extended,88890499121207868,864691137199038273
3415,2025-03-22 02:30:20.198841+00:00,,True,176416,211872,22512,864691134919529994,True,True,dendrite_extended,axon_partially_extended,89036734570519019,864691134919529994
3416,2025-03-22 02:30:20.223952+00:00,,True,171232,194720,21159,864691135212078784,True,True,dendrite_extended,axon_partially_extended,88330710531955625,864691135212078784
3417,2025-03-22 02:30:20.239616+00:00,,True,181680,227760,21700,864691135503448898,True,True,dendrite_extended,axon_partially_extended,89742552248623609,864691135503448898
4067,2025-07-25 23:48:49.761805+00:00,,True,259024,103792,15973,864691135493257823,True,False,dendrite_clean,none,100351601767770727,864691135493257823
1762,2024-08-21 19:08:13.089346+00:00,,True,175440,236640,24287,864691135566122071,True,True,dendrite_extended,axon_partially_extended,88899295885176142,864691135566122071
1763,2024-08-21 19:08:13.090012+00:00,,True,200000,241104,23766,864691136619828877,True,True,dendrite_extended,axon_partially_extended,92277614013854263,864691136619828877
1784,2024-08-21 19:08:13.105036+00:00,,True,181936,231632,23445,864691135694210751,True,True,dendrite_extended,axon_partially_extended,89813470950171544,864691135694210751
1788,2024-08-21 19:08:13.107627+00:00,,True,192464,250128,23266,864691135810803660,True,True,dendrite_extended,axon_partially_extended,91223319734677208,864691135810803660
1789,2024-08-21 19:08:13.108303+00:00,,True,181136,257456,24289,864691135271103653,True,True,dendrite_extended,axon_partially_extended,89676169569698746,864691135271103653
2353,2024-11-16 22:13:19.704771+00:00,,True,208096,148896,18072,864691136489055762,True,True,dendrite_extended,axon_partially_extended,93391143676653345,864691136489055762
2354,2024-11-16 22:13:19.705434+00:00,,True,219280,154800,18130,864691135271463077,True,True,dendrite_extended,axon_partially_extended,94940011962867590,864691135271463077
1794,2024-08-21 19:08:13.111697+00:00,,True,197504,237856,23720,864691134989919098,True,True,dendrite_extended,axon_partially_extended,91925357976082239,864691134989919098
1795,2024-08-21 19:08:13.112359+00:00,,True,182800,242400,22966,864691136117811876,True,True,dendrite_extended,axon_partially_extended,89885282736241786,864691136117811876
1798,2024-08-21 19:08:13.114377+00:00,,True,185024,250880,24664,864691135938925109,True,True,dendrite_extended,axon_partially_extended,90238226236836814,864691135938925109
1799,2024-08-21 19:08:13.115030+00:00,,True,196048,238960,22080,864691135782259280,True,True,dendrite_extended,axon_partially_extended,91714388981005932,864691135782259280
1800,2024-08-21 19:08:13.115665+00:00,,True,183568,227408,23038,864691137198844737,True,True,dendrite_extended,axon_partially_extended,90023958640448939,864691137198844737
1803,2024-08-21 19:08:13.117746+00:00,,True,182448,249728,22643,864691136090728503,True,True,dendrite_extended,axon_partially_extended,89886244808603893,864691136090728503
1804,2024-08-21 19:08:13.118430+00:00,,True,178032,246288,23567,864691136452543231,True,True,dendrite_extended,axon_partially_extended,89252445208777277,864691136452543231
1805,2024-08-21 19:08:13.119080+00:00,,True,183248,253408,23767,864691135938990901,True,True,dendrite_extended,axon_partially_extended,89957094723467230,864691135938990901
1806,2024-08-21 19:08:13.119721+00:00,,True,193344,245712,22517,864691136117834916,True,True,dendrite_extended,axon_partially_extended,91363438613853756,864691136117834916
1618,2024-08-02 22:14:52.976442+00:00,,True,191264,108496,22290,864691135342594225,True,True,dendrite_clean,axon_partially_extended,91063546817100593,864691135342594225
1621,2024-08-02 22:14:53.036254+00:00,,True,170208,113008,22507,864691135947258916,True,True,dendrite_extended,axon_partially_extended,88179046781337396,864691135947258916
1623,2024-08-02 22:14:53.074603+00:00,,True,184416,112704,22591,864691136012312227,True,True,dendrite_clean,axon_partially_extended,90149302965492552,864691136012312227
1624,2024-08-02 22:14:53.090842+00:00,,True,191776,109104,21470,864691136144827444,True,True,dendrite_extended,axon_partially_extended,91133984146794451,864691136144827444
1626,2024-08-02 22:14:53.122954+00:00,,True,170464,112688,22069,864691137198691137,True,True,dendrite_clean,axon_partially_extended,88178978061378529,864691137198691137
1627,2024-08-02 22:14:53.144748+00:00,,True,168768,111776,20637,864691135404860654,True,True,dendrite_clean,axon_partially_extended,87967734188688863,864691135404860654
1628,2024-08-02 22:14:53.160415+00:00,,True,174880,109920,22317,864691135502903106,True,True,dendrite_extended,axon_partially_extended,88811953161883743,864691135502903106
1629,2024-08-02 22:14:53.177256+00:00,,True,174240,113824,20992,864691135778212448,True,True,dendrite_clean,axon_partially_extended,88742065252966980,864691135778212448
1630,2024-08-02 22:14:53.194327+00:00,,True,187840,114048,20544,864691135464128062,True,True,dendrite_clean,axon_partially_extended,90571721320546579,864691135464128062
1631,2024-08-02 22:14:53.210007+00:00,,True,170864,116832,22166,864691135105563469,True,True,dendrite_clean,axon_partially_extended,88249896561494434,864691135105563469
1632,2024-08-02 22:14:53.226466+00:00,,True,170752,117072,20449,864691135947283492,True,True,dendrite_clean,axon_partially_extended,88249965012889400,864691135947283492
1633,2024-08-02 22:14:53.241504+00:00,,True,191792,111008,22383,864691135911353001,True,True,dendrite_clean,axon_partially_extended,91134259158791688,864691135911353001
1634,2024-08-02 22:14:53.257573+00:00,,True,193056,97824,21736,864691136135997579,True,True,dendrite_clean,axon_partially_extended,91273209873470619,864691136135997579
1637,2024-08-02 22:14:53.307479+00:00,,True,177760,114352,21510,864691136674203015,True,True,dendrite_clean,axon_partially_extended,89234715315318693,864691136674203015
1638,2024-08-02 22:14:53.323516+00:00,,True,168672,123472,21315,864691135304641703,True,True,dendrite_clean,axon_partially_extended,87969314803969367,864691135304641703
1639,2024-08-02 22:14:53.337969+00:00,,True,181184,108528,20416,864691135464025245,True,True,dendrite_clean,axon_partially_extended,89656171665349924,864691135464025245
1640,2024-08-02 22:14:53.351250+00:00,,True,180848,106784,22495,864691135890158729,True,True,dendrite_extended,axon_partially_extended,89655965775362211,864691135890158729
1643,2024-08-02 22:14:53.399809+00:00,,True,183328,115392,22480,864691136052291827,True,True,dendrite_extended,axon_partially_extended,89938540263655019,864691136052291827
1644,2024-08-02 22:14:53.414670+00:00,,True,168160,113296,21138,864691135993020097,True,True,dendrite_clean,axon_partially_extended,87897571670076296,864691135993020097
1645,2024-08-02 22:14:53.429475+00:00,,True,171024,125472,21780,864691135473343538,True,True,dendrite_clean,axon_partially_extended,88251064725641695,864691135473343538
1646,2024-08-02 22:14:53.446693+00:00,,True,173680,116048,22556,864691136238998588,True,True,dendrite_clean,axon_partially_extended,88672040374050892,864691136238998588
1647,2024-08-02 22:14:53.464872+00:00,,True,186000,120640,20761,864691136424154927,True,True,dendrite_clean,axon_partially_extended,90361508441504986,864691136424154927
1648,2024-08-02 22:14:53.480598+00:00,,True,171728,116816,21211,864691135404857070,True,True,dendrite_clean,axon_partially_extended,88390633915721778,864691135404857070
1649,2024-08-02 22:14:53.495685+00:00,,True,188432,107264,22404,864691136195418326,True,True,dendrite_clean,axon_partially_extended,90641196913206480,864691136195418326
1650,2024-08-02 22:14:53.513193+00:00,,True,186864,109920,20742,864691135989828864,True,True,dendrite_extended,axon_partially_extended,90430434076609019,864691135989828864
1651,2024-08-02 22:14:53.529057+00:00,,True,186912,125280,20919,864691135342597809,True,True,dendrite_clean,axon_partially_extended,90432495661088122,864691135342597809
1654,2024-08-02 22:14:53.577789+00:00,,True,182752,112912,20453,864691136195437526,True,True,dendrite_clean,axon_partially_extended,89867896373195343,864691136195437526
1655,2024-08-02 22:14:53.592947+00:00,,True,178048,104048,22251,864691135583037037,True,True,dendrite_clean,axon_partially_extended,89233340993163084,864691135583037037
1657,2024-08-02 22:14:53.622887+00:00,,True,183424,105440,21503,864691135808719133,True,True,dendrite_clean,axon_partially_extended,90007603203593521,864691135808719133
1658,2024-08-02 22:14:53.637254+00:00,,True,174704,115808,22327,864691135136166681,True,True,dendrite_clean,axon_partially_extended,88812709076150429,864691135136166681
1660,2024-08-02 22:14:53.665858+00:00,,True,191232,105888,22427,864691136391756671,True,True,dendrite_clean,axon_partially_extended,91063203219879884,864691136391756671
1661,2024-08-02 22:14:53.685122+00:00,,True,189104,111200,21854,864691135970263141,True,True,dendrite_clean,axon_partially_extended,90782415370778176,864691135970263141
1662,2024-08-02 22:14:53.701785+00:00,,True,180032,111920,22362,864691136090561847,True,True,dendrite_clean,axon_partially_extended,89515915481621493,864691136090561847
1663,2024-08-02 22:14:53.718723+00:00,,True,186640,108656,22542,864691135911348649,True,True,dendrite_clean,axon_partially_extended,90430228186324001,864691135911348649
1971,2024-09-13 22:15:24.196205+00:00,,True,179584,242864,24641,864691135473453362,True,True,dendrite_extended,axon_partially_extended,89463070539231801,864691135473453362
1972,2024-09-13 22:15:24.196844+00:00,,True,203712,255376,24841,864691135939114293,True,True,dendrite_extended,axon_partially_extended,92772119502730686,864691135939114293
1973,2024-09-13 22:15:24.197483+00:00,,True,191232,243056,22730,864691135941293057,True,True,dendrite_extended,axon_partially_extended,91081620106537605,864691135941293057
3789,2025-06-28 00:54:27.450994+00:00,,True,195888,108064,20798,864691135294935564,True,True,dendrite_extended,axon_fully_extended,91696796593956870,864691135294935564
1665,2024-08-02 22:14:53.746887+00:00,,True,184128,123408,21604,864691135877467731,True,True,dendrite_clean,axon_partially_extended,90080377196136262,864691135877467731
1667,2024-08-02 22:14:53.779032+00:00,,True,182048,115584,21330,864691136904509106,True,True,dendrite_clean,axon_partially_extended,89797871360450461,864691136904509106
1668,2024-08-02 22:14:53.793210+00:00,,True,169472,115888,21788,864691135469684306,True,True,dendrite_extended,axon_partially_extended,88038652823071807,864691135469684306
1670,2024-08-02 22:14:53.822509+00:00,,True,173760,107744,22090,864691136674194055,True,True,dendrite_extended,axon_partially_extended,88670940795365171,864691136674194055
1671,2024-08-02 22:14:53.837029+00:00,,True,169360,112336,20357,864691135740913300,True,True,dendrite_clean,axon_partially_extended,88038240305027727,864691135740913300
1672,2024-08-02 22:14:53.852339+00:00,,True,168576,121376,22182,864691135716429850,True,True,dendrite_clean,axon_partially_extended,87969040060090183,864691135716429850
