id,created,superceded_id,valid,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id
715010,2020-09-28 22:40:41.915448+00:00,,True,188.07309,387216,223408,19377,,,,,,,0,0
582214,2020-09-28 22:40:41.916377+00:00,,True,200.70105,343440,125104,18920,,,,,,,111965262391641451,864691135092140141
227368,2020-09-28 22:40:41.917305+00:00,,True,53.138718,148960,175072,16463,,,,,,,85231873843933875,864691135889742485
362609,2020-09-28 22:40:41.918224+00:00,,True,260.2585,227264,144320,16675,,,,,,,95994168534737956,864691136126239014
227105,2020-09-28 22:40:41.919117+00:00,,True,29.953556,155584,174704,15092,,,,,,,86146598597566413,864691135862392819
671586,2020-09-28 22:40:41.920024+00:00,,True,40.77273,376320,219440,20180,,,,,,,0,0
583297,2020-09-28 22:40:41.920888+00:00,,True,225.95747,341888,136144,16370,,,,,,,111755667652003540,864691135374355144
583404,2020-09-28 22:40:41.922514+00:00,,True,56.65653,342176,132320,17025,,,,,,,111825555493711926,864691134941962319
394391,2020-09-28 22:40:41.923389+00:00,,True,54.252995,232528,158464,20109,,,,,,,96770149335665153,864691135746700289
611718,2020-09-28 22:40:41.924279+00:00,,True,44.737495,350896,133776,16392,,,,,,,113021961516377519,864691135939430102
608855,2020-09-28 22:40:41.925180+00:00,,True,218.8714,354560,103232,25484,,,,,,,113510489417825223,864691135888983689
365403,2020-09-28 22:40:41.926068+00:00,,True,94.9171,228048,168432,18798,,,,,,,96138136107038470,864691135318977758
719364,2020-09-28 22:40:41.926960+00:00,,True,206.6486,380672,241184,18035,,,,,,,0,0
189734,2020-09-28 22:40:41.927795+00:00,,True,46.907883,145552,141152,15660,,,,,,,84805125759442539,864691135480521168
581138,2020-09-28 22:40:41.928680+00:00,,True,48.073605,342592,101424,21969,,,,,,,111891732954131214,864691135583259746
221971,2020-09-28 22:40:41.929563+00:00,,True,267.98703,154336,125936,15238,,,,,,,85999332759096854,864691135123287591
608651,2020-09-28 22:40:41.930458+00:00,,True,45.211155,360416,98080,22672,,,,,,,114283858073158801,864691135100778785
223529,2020-09-28 22:40:41.931318+00:00,,True,257.79028,151984,133856,15705,,,,,,,85648588616928936,864691135429252144
719916,2020-09-28 22:40:41.932203+00:00,,True,211.872,384656,241424,19518,,,,,,,0,0
396633,2020-09-28 22:40:41.933080+00:00,,True,54.655712,243328,173648,20152,,,,,,,98249885828269697,864691135732257977
223720,2020-09-28 22:40:41.934184+00:00,,True,228.66527,162992,143312,16244,,,,,,,87197938006575549,864691136674065543
581830,2020-09-28 22:40:41.935050+00:00,,True,54.224815,342800,115056,16324,,,,,,,111893587641785223,864691136210640318
225887,2020-09-28 22:40:41.935874+00:00,,True,163.92978,159184,159456,18922,,,,,,,86637187412008833,864691135465777989
713162,2020-09-28 22:40:41.936787+00:00,,True,291.14694,380544,224512,16835,,,,,,,0,0
580782,2020-09-28 22:40:41.937676+00:00,,True,337.95898,341520,109696,17356,,,,,,,111681725629234746,864691135910660777
717927,2020-09-28 22:40:41.938567+00:00,,True,160.21373,381696,238960,16334,,,,,,,0,0
226258,2020-09-28 22:40:41.939424+00:00,,True,271.14734,163488,159280,21529,,,,,,,87270437792308983,864691136905347506
717721,2020-09-28 22:40:41.940423+00:00,,True,51.00372,380528,231872,15597,,,,,,,0,0
224329,2020-09-28 22:40:41.941831+00:00,,True,46.51598,153248,143168,21168,,,,,,,85860932538046049,864691135633474924
