id,created,valid,target_id,session,scan_idx,unit_id,field,residual,score,id_ref,created_ref,valid_ref,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id
13407,2024-05-21 18:42:40.764749+00:00,True,525063,7,5,6774,6,13.1029,-5.46587,525063,2020-09-28 22:40:51.492310+00:00,True,287.39667,310800,159904,21001,,,,,,,107466336023661571,864691135759120974
1661,2024-05-21 18:38:23.226862+00:00,True,527802,5,3,7348,6,9.42763,4.51977,527802,2020-09-28 22:41:38.716906+00:00,True,577.62805,297680,186240,25460,,,,,,,105710691369291932,864691136536137634
1623,2024-05-21 18:38:23.205634+00:00,True,527828,5,3,7162,6,8.29933,0.31943,527828,2020-09-28 22:45:25.525078+00:00,True,566.50745,306160,187408,25333,,,,,,,106836728714940023,864691136537343394
2801,2024-05-21 18:38:23.865031+00:00,True,527831,5,6,7284,6,7.94225,-0.79222,527831,2020-09-28 22:45:24.768512+00:00,True,439.2239,306448,177808,25119,,,,,,,106905791788806279,864691135885111664
2636,2024-05-21 18:38:23.773737+00:00,True,527987,5,6,6781,6,14.1572,-3.4758,527987,2020-09-28 22:43:58.232245+00:00,True,426.9441,310064,179216,26870,,,,,,,107398579358061431,864691135335552489
5434,2024-05-21 18:38:25.340371+00:00,True,525514,6,2,6683,6,11.0228,-1.0037,525514,2020-09-28 22:45:23.566170+00:00,True,429.60895,303072,170800,24234,,,,,,,106412317092324930,864691135066617924
11003,2024-05-21 18:42:39.451336+00:00,True,525514,7,3,6793,6,5.18319,6.76201,525514,2020-09-28 22:45:23.566170+00:00,True,429.60895,303072,170800,24234,,,,,,,106412317092324930,864691135066617924
2767,2024-05-21 18:38:23.846253+00:00,True,527955,5,6,7169,6,3.10568,10.12972,527955,2020-09-28 22:45:24.816309+00:00,True,442.9734,301920,179504,26539,,,,,,,106272748103779037,864691135610509319
2793,2024-05-21 18:38:23.860608+00:00,True,527900,5,6,7244,6,3.45201,15.79399,527900,2020-09-28 22:44:53.647253+00:00,True,294.03824,305280,178656,25933,,,,,,,106765191806874088,864691136238368060
9547,2024-05-21 18:42:38.654097+00:00,True,525664,6,7,6169,6,3.57883,5.40528,525664,2020-09-28 22:45:22.969733+00:00,True,405.9996,297408,166176,26024,,,,,,,105637642632696663,864691136210126524
2799,2024-05-21 18:38:23.863954+00:00,True,527871,5,6,7277,6,3.42647,11.75593,527871,2020-09-28 22:45:23.383832+00:00,True,421.12024,297632,179792,25845,,,,,,,105709798083059941,864691135511493328
4309,2024-05-21 18:38:24.707933+00:00,True,530182,5,7,8341,8,4.75492,11.17888,530182,2020-09-28 22:41:06.656072+00:00,True,263.16406,311152,200592,15325,,,,,,,107542201521163259,864691135968903525
8223,2024-05-21 18:38:26.895869+00:00,True,525533,6,6,6319,6,13.2719,-2.068,525533,2020-09-28 22:45:23.055060+00:00,True,408.96365,304064,163392,24321,,,,,,,106552023788655832,864691135851743431
5571,2024-05-21 18:38:25.417023+00:00,True,525764,6,2,7164,6,9.31077,1.07803,525764,2020-09-28 22:42:50.760847+00:00,True,326.04782,301456,174768,26559,,,,,,,106201692164894128,864691134948418556
7307,2024-05-21 18:38:26.383132+00:00,True,530235,6,4,8805,8,13.0306,-7.05832,530235,2020-09-28 22:41:42.165830+00:00,True,303.2072,308192,198192,16442,,,,,,,107119645659596973,864691136195188044
