id,created,valid,target_id,session,scan_idx,unit_id,pref_ori,pref_dir,gOSI,gDSI,cc_abs,cc_max,cc_norm,OSI,DSI,readout_loc_x,readout_loc_y,id_ref,created_ref,valid_ref,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id
2644,2025-07-30 17:51:24.966032+00:00,True,359609,5,7,2037,91.239365,271.23938,0.375314,0.110353,0.560777,0.71429,0.7850831,0.6241696,0.29185736,-0.039714754,0.0006071329,359609,2020-09-28 22:41:10.941521+00:00,True,306.51007,218352,113536,22414,,,,,,,94793777453420039,864691135374400073
14036,2025-07-30 17:52:12.695913+00:00,True,359609,9,4,2525,97.50023,97.50023,0.299788,0.0267527,0.404092,0.644351,0.62713027,0.5224319,0.007909732,-0.030991554,-0.041405737,359609,2020-09-28 22:41:10.941521+00:00,True,306.51007,218352,113536,22414,,,,,,,94793777453420039,864691135374400073
1357,2025-07-30 17:51:23.969399+00:00,True,359671,5,6,1797,51.521282,51.521282,0.261356,0.0618084,0.558596,0.688083,0.81181484,0.50343865,0.1683781,-0.13459063,0.0071305037,359671,2020-09-28 22:42:19.583256+00:00,True,305.46674,213344,113536,23324,,,,,,,94090090145738311,864691135926596110
9998,2025-07-30 17:51:51.867195+00:00,True,359680,7,5,1879,74.707245,254.70724,0.26855,0.12414,0.575943,0.748037,0.7699392,0.5183632,0.30590686,-0.1114797,-0.020346344,359680,2020-09-28 22:45:09.996281+00:00,True,331.11377,215104,118288,22974,,,,,,,94372183530832575,864691135336054249
14987,2025-07-30 17:52:13.437825+00:00,True,359680,9,4,8172,78.94098,78.94098,0.0704698,0.0565636,0.280328,0.735215,0.3812871,0.1518859,0.09213788,-0.0766294,0.1142776,359680,2020-09-28 22:45:09.996281+00:00,True,331.11377,215104,118288,22974,,,,,,,94372183530832575,864691135336054249
5007,2025-07-30 17:51:47.762859+00:00,True,358361,6,4,1524,69.29982,69.29982,0.280119,0.0201745,0.0702541,0.445248,0.15778644,0.5049885,0.059186712,-0.09814376,-0.037193656,358361,2020-09-28 22:45:15.449475+00:00,True,348.38528,219440,102992,25995,,,,,,,94933072302602622,864691135478690758
14096,2025-07-30 17:52:12.737995+00:00,True,359618,9,4,2749,114.55359,294.5536,0.0639114,0.0823089,0.0811456,0.256247,0.31666946,0.12662293,0.26017547,-0.06301403,-0.079393506,359618,2020-09-28 22:45:15.607699+00:00,True,349.7871,220624,115504,21920,,,,,,,95075527240972123,864691135388011905
14215,2025-07-30 17:52:12.819227+00:00,True,359618,9,4,4597,175.14502,355.14502,0.176571,0.0813518,0.264168,0.407348,0.64850694,0.33825174,0.2330884,-0.062956214,-0.0817312,359618,2020-09-28 22:45:15.607699+00:00,True,349.7871,220624,115504,21920,,,,,,,95075527240972123,864691135388011905
9201,2025-07-30 17:51:51.274536+00:00,True,359710,7,3,2486,92.728065,92.728065,0.42587,0.0722791,0.29927,0.54782,0.5462926,0.6821671,0.19729772,-0.02913493,0.047873378,359710,2020-09-28 22:41:28.333500+00:00,True,272.6324,218944,126976,22613,,,,,,,94865932970775270,864691135740756075
57,2025-07-30 17:51:22.739434+00:00,True,358140,4,7,963,26.909365,26.909365,0.359739,0.0439717,0.142445,0.435823,0.3268414,0.6660454,0.10704099,-0.10268563,-0.045718133,358140,2020-09-28 22:42:15.241467+00:00,True,345.11914,228752,98016,23453,,,,,,,96199090886891134,864691135946695972
