neuron_id,brain_area,layer,cell_type,pref_ori,gOSI,x,y,z,out_degree,in_degree,out_strength,in_strength
864691135350420951,V1,L6,6P-CT,155.36996,0.10831,619.6590445129723,546.685568738302,875.2800000000002,1,11,1,11
864691135700409211,RL,L4,4P,139.46194,0.156825,1208.5354771059908,336.5378561156796,983.2000000000003,5,2,5,2
864691136452609023,V1,L5,5P-IT,90.49051,0.140495,609.6835277969864,402.2264345506393,831.1600000000002,6,20,6,20
864691135739587697,V1,L2/3,23P,110.70274,0.171436,658.756464518673,228.3056015216163,858.5600000000003,19,23,19,23
864691136195400150,V1,L2/3,23P,97.34022,0.109876,567.0916387272655,98.9281653411488,950.8800000000002,12,9,12,9
864691136042982742,V1,L2/3,23P,29.530073,0.143404,650.1273768615357,116.92167751906801,817.4400000000003,8,20,8,20
864691136331249642,V1,L2/3,23P,96.10737,0.25675,700.6187655241972,144.14588834171713,844.0000000000002,13,24,13,24
864691135970206821,AL,L4,4P,52.763283,0.154463,1235.6388224161742,310.191813661509,729.1600000000001,6,4,6,4
864691135510846217,V1,L6,6P-CT,96.52047,0.39349,648.4084106431253,547.7874340269855,875.1600000000002,5,6,5,6
864691135162908461,RL,L4,4P,98.10355,0.362296,1186.3929103522553,339.2262343547614,916.7200000000003,4,2,4,2
864691136092725684,V1,L4,4P,6.228472,0.198406,719.7644900434312,257.22083248335093,825.8800000000002,19,12,19,12
864691136119885080,V1,L2/3,23P,103.390236,0.363579,845.5181549207962,234.8799728331187,912.2000000000003,11,16,11,16
864691136391623039,RL,L5,5P-IT,154.85086,0.106699,1103.092464634696,381.53512022115996,891.0000000000002,1,7,1,7
864691135417045946,V1,L2/3,23P,39.029312,0.215377,959.2166463413366,174.0941408597611,911.8400000000003,9,13,9,13
864691136453419007,V1,L2/3,23P,13.068767,0.0546197,708.7134663868139,217.57882249217,847.6000000000003,22,45,22,45
864691136380757461,V1,L5,5P-IT,72.29123,0.328368,654.4907070787979,400.4287969877246,877.6800000000003,17,25,17,25
864691135852138183,AL,L2/3,23P,99.95348,0.175763,1301.2584393680304,163.03094859510725,829.0800000000003,2,7,2,7
864691135952122147,AL,L2/3,23P,172.98154,0.0165627,1333.3576208781249,183.12102540884777,791.5200000000002,7,9,7,9
864691135587519868,V1,L5,5P-IT,100.11849,0.572506,643.037520715139,387.413057203936,856.5600000000003,27,15,27,15
864691135476495936,V1,L4,4P,66.15986,0.0780382,676.9946274629448,285.6654336379866,822.8800000000002,65,21,65,21
864691135749995049,RL,L2/3,23P,33.6806,0.0815241,1182.3452702848176,135.08865415482742,954.4000000000002,3,2,3,2
864691135764583990,V1,L2/3,23P,57.779778,0.549002,715.137001814084,153.70360601023077,827.4800000000002,34,12,34,12
864691136298045979,RL,L5,5P-IT,21.855896,0.0957868,1065.2823111693033,362.1017985564664,723.0000000000001,7,12,7,12
864691135861093992,V1,L2/3,23P,30.14717,0.0869762,719.9657589229946,154.31880092498898,875.8400000000003,18,29,18,29
864691136227484753,RL,L2/3,23P,23.179352,0.197064,1216.945549307992,248.48778510175512,826.0400000000003,2,7,2,7
864691135490326074,V1,L2/3,23P,36.967087,0.108595,715.6139034512439,111.53671296807653,826.0400000000003,11,23,11,23
864691135496440208,V1,L2/3,23P,162.35446,0.257045,652.898731277874,218.15644582867128,818.3200000000003,27,35,27,35
864691135584629613,V1,L2/3,23P,99.76956,0.647842,632.0590387573106,136.92704455272695,833.5600000000003,20,29,20,29
864691136041575422,V1,L4,4P,80.1217,0.522675,687.5332870857992,261.4036147994572,850.8800000000002,17,31,17,31
864691136438469534,V1,L2/3,23P,94.63658,0.40045,646.9027912289205,107.51684814805171,829.4400000000003,12,18,12,18
