pre_pt_root_id,post_pt_root_id,synapse_count,synapse_size_sum
864691135942924148,864691135360809560,1,25836.0
864691135942924148,864691136524297617,1,3044.0
864691135988742147,864691135765013302,2,17392.0
864691135988742147,864691136058745048,1,3684.0
864691135990004992,864691135280682401,1,2876.0
864691135990004992,864691136043283030,1,10476.0
864691136006519498,864691136125440038,2,26432.0
864691136010639022,864691135360809560,1,284.0
864691136010639022,864691135465343045,1,8216.0
864691136010639022,864691135751110185,1,1636.0
864691136010639022,864691136058745048,1,8840.0
864691136012739747,864691135465343045,1,17660.0
864691136012739747,864691135760106830,1,3704.0
864691136023889209,864691135102433056,1,6712.0
864691136023889209,864691135990004992,1,13500.0
864691136023889209,864691137199050049,1,14128.0
864691136025504569,864691136210847932,1,12824.0
864691136033332155,864691134966714655,1,2544.0
864691136033332155,864691135357351375,1,4236.0
864691136033332155,864691135810982860,1,3372.0
864691136033332155,864691135988742147,1,2724.0
864691136033332155,864691136523335057,1,2544.0
864691136043283030,864691135782506832,1,6972.0
864691136043283030,864691136023889209,1,544.0
864691136043283030,864691136239980604,1,5524.0
864691136052738803,864691136484732972,1,3024.0
864691136058745048,864691135374981320,1,8588.0
864691136058745048,864691135504168285,1,2164.0
864691136058745048,864691135942924148,1,1924.0
864691136058745048,864691136010639022,1,15320.0
864691136085781356,864691135430486576,1,6200.0
864691136085781356,864691136010639022,1,3136.0
864691136085781356,864691136664127454,1,1348.0
864691136091074615,864691135465343045,1,1380.0
864691136091074615,864691135592830731,1,3724.0
864691136091074615,864691135988742147,1,2004.0
864691136091074615,864691136058745048,3,31292.0
864691136091074615,864691136107283417,1,4752.0
864691136101516661,864691135386963541,1,17900.0
864691136120159768,864691135360809560,1,2240.0
864691136120159768,864691135562004193,1,4408.0
864691136120159768,864691137199050049,1,6652.0
864691136125440038,864691135280682401,1,3932.0
864691136177799686,864691135694415551,1,1916.0
864691136177799686,864691136905758130,1,7552.0
864691136210847932,864691136025504569,1,8252.0
864691136211371452,864691135760106830,2,2528.0
864691136211371452,864691136010639022,1,5608.0
864691136211371452,864691136975624220,1,7548.0
864691136239902780,864691135386963541,1,4372.0
864691136239902780,864691135782506832,1,11376.0
864691136239980604,864691135124603687,1,9468.0
864691136239980604,864691136085781356,1,12332.0
864691136239980604,864691136484732972,1,13968.0
864691136239980604,864691136905758130,1,932.0
864691136275894285,864691135592830731,1,16768.0
864691136275894285,864691136033332155,3,12728.0
864691136275894285,864691136058745048,1,3468.0
864691136313406781,864691135124603687,1,2444.0
864691136313406781,864691135810982860,1,2068.0
864691136313406781,864691136239902780,1,5520.0
864691136380266965,864691135569902316,1,1224.0
864691136523335057,864691135386963541,1,1568.0
864691136523335057,864691136107283417,1,1400.0
864691136523335057,864691136239902780,1,4176.0
864691136905758130,864691135386963541,1,12968.0
864691136905758130,864691136010639022,1,3552.0
864691136913993713,864691135124603687,1,5608.0
864691136913993713,864691135294520844,1,1868.0
864691136913993713,864691135583172717,1,13628.0
864691136913993713,864691135942924148,1,11712.0
864691136913993713,864691136033332155,1,6932.0
864691136953677535,864691135569902316,1,12076.0
864691136953677535,864691135942924148,1,3972.0
864691136954028511,864691135725842603,1,968.0
864691136975624220,864691134966714655,1,7316.0
864691136975624220,864691135102433056,2,33520.0
864691136975624220,864691135294520844,1,13592.0
864691137199050049,864691136043283030,1,13988.0
864691137199050049,864691136975624220,1,18920.0
