id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size
175589076,90228810930448256,864691136177799686,90228810930448256,864691136177799686,440.0
186827466,91415046739088037,864691135611019015,91415046739104756,864691135258563503,3404.0
72874208,82204987521835577,864691135276505573,82204987521835577,864691135276505573,960.0
89484740,83822918882268135,864691135276505573,83822918882268135,864691135276505573,1200.0
260789266,97399069651421151,864691134886499066,97399069651421151,864691134886499066,844.0
245191892,95997261246872594,864691134886499066,95997261246872594,864691134886499066,200.0
189662926,91495448862364916,864691135258563503,91495448862363008,864691135360809560,2480.0
173667562,90436756604037896,864691136006519498,90436756604037896,864691136006519498,280.0
293521336,100154514979488719,864691135102433056,100154514979488719,864691135102433056,5480.0
173608587,90298698638442651,864691136239902780,90298698638442651,864691136239902780,196.0
161773310,88889537182603892,864691135102433056,88889537182603892,864691135102433056,652.0
161773409,88959974646149445,864691135102433056,88959974646149445,864691135102433056,400.0
159231824,89100574695727886,864691135102433056,89100574695727886,864691135102433056,300.0
164658508,89945137064991255,864691135102433056,89945137064991255,864691135102433056,220.0
161773403,88959837207319323,864691135102433056,88889468463114661,864691135102433056,496.0
175574156,90507330969570291,864691135102433056,90507330969570291,864691135102433056,752.0
151011035,88675407427360767,864691136239980604,88675407427360767,864691136239980604,1372.0
143764609,88327618356722089,864691136177799686,88327618356728317,864691136905758130,7552.0
135777471,87762537764222105,864691135725842603,87762537764210916,864691135102433056,25400.0
285506682,99091150199578296,864691136380266965,99091218919085349,864691136380266965,652.0
143215723,88044837441710071,864691135725842603,88044837441707978,864691134966714655,4980.0
265405217,97756480388152087,864691135375888840,97756480388148965,864691135430486576,4748.0
240640161,95713793271202423,864691134886499066,95713793271202423,864691134886499066,868.0
181850259,90858900148171367,864691134966714655,90858900148176717,864691135725842603,656.0
151154494,88882528333147803,864691135258563503,88882528333147803,864691135258563503,2244.0
215443960,93393549395364121,864691136085781356,93393549395348606,864691135430486576,6200.0
279331652,98673473286799532,864691136380266965,98673473286799532,864691136380266965,244.0
180227131,91070487081327778,864691135258563503,91070487081327778,864691135258563503,332.0
192940537,91844268590962657,864691135258563503,91844268590962657,864691135258563503,268.0
174883963,90296156487229821,864691135480916422,90296156487219318,864691136006519498,1052.0
145745572,88185575332926483,864691136975624220,88185575332926483,864691136975624220,192.0
74369247,82349092600508560,864691136239980604,82349092600508560,864691136239980604,412.0
161895501,89321439429578001,864691136239980604,89321439429578001,864691136239980604,612.0
150818957,88748181219266340,864691136177799686,88748181219260897,864691136177799686,184.0
174459351,90298905199407652,864691135466236229,90298905199407652,864691135466236229,1060.0
181088962,90648137244566798,864691135725842603,90648137244556150,864691135102433056,1384.0
154508670,88396955906527017,864691136177799686,88396955906527017,864691136177799686,1780.0
138048306,87619876197331309,864691135375888840,87619876197319353,864691134966714655,2240.0
285508295,99302256432015648,864691136380266965,99302256432015648,864691136380266965,1128.0
302608987,101134317748834488,864691136380266965,101134317748834488,864691136380266965,2428.0
276388347,98804796072992846,864691136380266965,98804796072992846,864691136380266965,224.0
182107322,90789561860671679,864691135499231763,90789561860693705,864691135499231763,320.0
162254371,88961280450740135,864691135765013302,88961280450746231,864691135725842603,10228.0
111510639,85090861746463900,864691136125440038,85090861746463900,864691136125440038,1504.0
259030010,96842579865708056,864691136107283417,96842579865708056,864691136107283417,772.0
223665613,94238249203349119,864691134966069023,94238249203363345,864691135430486576,8744.0
213575903,93956568135571817,864691135455819114,93956568135566724,864691136091074615,9600.0
172293455,90437924700872980,864691136033332155,90437924700877941,864691134966714655,2544.0
147813074,88258074246294098,864691136006519498,88258074246294098,864691136006519498,1016.0
188805682,91420956815807620,864691135499707667,91420956815819555,864691136905758130,15748.0
195638414,91844062499884200,864691136523335057,91844062499901232,864691136239902780,4176.0
184281138,91555578069056977,864691135611019015,91555578069056942,864691135258563503,11416.0
159719748,89101399799320785,864691136043283030,89101399799331852,864691136239980604,5524.0
136244166,87552462659427376,864691135810982860,87622762684144169,864691136664127454,18480.0
231495002,94798106780604863,864691136523335057,94798106780604863,864691136523335057,876.0
215895823,93743881220858481,864691136523335057,93743881220858481,864691136523335057,572.0
153167677,88539342997517214,864691136239980604,88539342997517214,864691136239980604,932.0
205929901,92829293570614052,864691136523335057,92829293570614052,864691136523335057,776.0
199372899,92618737563785245,864691136091074615,92618737563785245,864691136091074615,236.0
216119273,93816449055335979,864691136091074615,93816449055335979,864691136091074615,248.0
202717286,92477587288409611,864691136523335057,92477587288409611,864691136523335057,1340.0
223181219,94236531149230132,864691135465113157,94236531149226610,864691136523335057,4024.0
133362038,86990061589430979,864691135375888840,86990061589438127,864691136125440038,14392.0
133361970,86990130308854930,864691135375888840,86990130308860304,864691136125440038,5588.0
151396039,88326587631783919,864691135611019015,88326587631783919,864691135611019015,1568.0
223368746,94025699862067545,864691135360809560,94025699862068075,864691136091074615,13272.0
158265435,89099681611067544,864691135611019015,89099681611067544,864691135611019015,224.0
59287357,81430106635125125,864691135276505573,81430106635125125,864691135276505573,556.0
88094973,83400568978381176,864691135276505573,83400568978381176,864691135276505573,796.0
71897647,82345450065346388,864691135276505573,82345450065346388,864691135276505573,192.0
153391802,88539549089078282,864691135360809560,88539617808574682,864691136975624220,5012.0
146952251,88184338046618680,864691135765013302,88184338046625196,864691135725842603,13232.0
188928068,91422537027775376,864691135499231763,91422537027775376,864691135499231763,1852.0
166980066,90012688176010425,864691136239980604,90012688176010425,864691136239980604,280.0
179431102,91070281392636292,864691136905758130,91070281392636292,864691136905758130,212.0
226864070,94870330883303427,864691136905758130,94870330883303427,864691136905758130,184.0
180585135,91070487551215838,864691136905758130,91070487551215838,864691136905758130,292.0
274316553,98877156809602686,864691136523335057,98877156809602686,864691136523335057,588.0
266060366,97475486246554636,864691135102433056,97475486246554636,864691135102433056,584.0
165319517,89596385921834532,864691136177799686,89596385921834532,864691136177799686,344.0
237789613,95151530981905278,864691136239980604,95151530981908598,864691136905758130,932.0
129166552,86919417900268889,864691135375888840,86919417900267499,864691136125440038,7300.0
111638368,85367457170499248,864691135276505573,85367457170499248,864691135276505573,400.0
205800738,92899593527946945,864691136033332155,92899593527949171,864691136523335057,2544.0
268197350,97964631951463938,864691135430486576,97964631951463938,864691135430486576,184.0
178552912,90649305811516110,864691135611019015,90649305811516110,864691135611019015,164.0
159035464,88888506725747609,864691135611019015,88888506725747609,864691135611019015,832.0
154199913,88888369220208398,864691135611019015,88888369220208398,864691135611019015,524.0
179431463,91140443978465426,864691136905758130,91140443978465426,864691136905758130,428.0
154459082,88678912120398902,864691135725842603,88608543376194359,864691135102433056,3976.0
168352217,89522787362109834,864691135294441654,89452418617923221,864691135102433056,4908.0
189960352,91289153195021263,864691136905758130,91289153195021263,864691136905758130,176.0
153936824,88677949981120034,864691135280682401,88677949981129464,864691136177799686,1240.0
261386412,97614437430772467,864691135763795510,97614437430768583,864691135430486576,15388.0
182106714,90648755653027508,864691135499231763,90648755653027508,864691135499231763,336.0
175318219,90226543187836704,864691135499231763,90226543187836704,864691135499231763,1556.0
174439660,90576119099055259,864691135499231763,90576119099055259,864691135499231763,632.0
180225304,90859724446421680,864691135499231763,90859724446421680,864691135499231763,728.0
165987873,89663112801882308,864691135375590217,89663112801882333,864691136905758130,4976.0
174685069,90294850482221831,864691134966714655,90294850482221831,864691134966714655,1232.0
153109929,88820130779822867,864691135466236229,88820130779822867,864691135466236229,1592.0
83259861,83259556611998531,864691135276505573,83259556611998531,864691135276505573,300.0
113756994,85303479941753515,864691136177799686,85303479941753515,864691136177799686,552.0
174685333,90365013134504431,864691135611019015,90365013134504431,864691135611019015,324.0
161773449,88959768487828066,864691135102433056,88959768487828066,864691135102433056,188.0
178167206,91140581216551215,864691135782506832,91140581216556348,864691136006519498,4376.0
151749710,88811540509531056,864691135466236229,88811540509531056,864691135466236229,168.0
203164630,92688830959856220,864691136905758130,92688830959856220,864691136905758130,716.0
224488043,93953956862255185,864691136905758130,93953956862255185,864691136905758130,304.0
188700356,91140237685909719,864691135455819114,91140237685905442,864691135725842603,11724.0
216728701,93815624287333489,864691136905758130,93815624287333489,864691136905758130,1324.0
203119901,92337674702193216,864691136091074615,92337674702191227,864691135592830731,3724.0
158970827,89452418618013794,864691135725842603,89452418618004595,864691135102433056,26508.0
165626584,89517770840204572,864691135466236229,89517770840204572,864691135466236229,244.0
171618122,90226749748607378,864691135466236229,90226749748607378,864691135466236229,1956.0
168040633,89523268398248506,864691135466236229,89523268398248506,864691135466236229,340.0
175212129,90087249277919022,864691135466236229,90087249277919022,864691135466236229,2296.0
186589568,91564649241342634,864691135466236229,91564649241342634,864691135466236229,1280.0
138842844,87341081079215262,864691134966714655,87341081079215262,864691134966714655,200.0
146994543,88045387130276663,864691135474504498,88045387130283554,864691135808925981,1024.0
155228163,88541954136156268,864691134966714655,88541954136156268,864691134966714655,160.0
