cohort,functional_metric,structural_metric,controls,test_role,rho,p_value,n_neurons,rank_variance_approx,q_bh_all_tests
all_906,mean_fcorr_pos_clipped,total_strength,distance+area+layer,exploratory,0.04287155843374304,0.19731534621044158,906,0.001837970522537844,0.3171139492667811
all_906,mean_fcorr_pos_clipped,in_degree,raw,exploratory,0.06699670229356826,0.0437925454653324,906,0.004488558118213014,0.11629441556122148
all_906,mean_fcorr_pos_clipped,in_degree,distance,exploratory,0.05160479724369631,0.1206178007541978,906,0.002663055098563006,0.2087615782284193
all_906,mean_fcorr_pos_clipped,in_degree,distance+area,exploratory,0.045281308813332324,0.17326835327956908,906,0.0020503969278483675,0.2942292791539852
all_906,mean_fcorr_pos_clipped,in_degree,distance+area+cell_type,exploratory,0.009096617780842088,0.7845193642610147,906,8.274845505073245e-05,0.8506836479938712
all_906,mean_fcorr_pos_clipped,in_degree,distance+area+layer,exploratory,0.002061605485354291,0.9505880136627753,906,4.250217177242901e-06,0.9612687778612335
all_906,mean_fcorr_pos_clipped,out_degree,raw,exploratory,0.05872846276647424,0.07726145465836591,906,0.0034490323389131513,0.1511637156359333
all_906,mean_fcorr_pos_clipped,out_degree,distance,exploratory,0.03802628552047152,0.25286497524482565,906,0.001445998390484422,0.3792974628672385
all_906,mean_fcorr_pos_clipped,out_degree,distance+area,exploratory,0.03603807190704701,0.2785446684255519,906,0.001298742626777491,0.404339034811285
all_906,mean_fcorr_pos_clipped,out_degree,distance+area+cell_type,exploratory,0.0284844920283747,0.3917939418154114,906,0.0008113662861145418,0.4830336268957126
all_906,mean_fcorr_pos_clipped,out_degree,distance+area+layer,exploratory,0.038304215853854864,0.24941086965938583,906,0.0014672129521787064,0.3792974628672385
all_906,mean_fcorr_pos_clipped,in_strength,raw,exploratory,0.05318128472581554,0.10967181032805388,906,0.0028282490450882614,0.19353848881421273
all_906,mean_fcorr_pos_clipped,in_strength,distance,exploratory,0.04092603498683448,0.21844189450828108,906,0.0016749403397436002,0.3389615604438844
all_906,mean_fcorr_pos_clipped,in_strength,distance+area,exploratory,0.03635005101477266,0.2744020564068911,906,0.0013213262087765746,0.404339034811285
all_906,mean_fcorr_pos_clipped,in_strength,distance+area+cell_type,exploratory,0.0006569814011478485,0.9842446132385297,906,4.3162456145419026e-07,0.9842446132385297
all_906,mean_fcorr_pos_clipped,in_strength,distance+area+layer,exploratory,-0.006193078483949729,0.8523231598834761,906,3.835422110836107e-05,0.9089281712853003
all_906,mean_fcorr_pos_clipped,out_strength,raw,exploratory,0.07860066397241125,0.017968705549639197,906,0.006178064376903908,0.06219936536413568
all_906,mean_fcorr_pos_clipped,out_strength,distance,exploratory,0.06416310841819409,0.05352978573840834,906,0.004116904481884929,0.11750440771845733
all_906,mean_fcorr_pos_clipped,out_strength,distance+area,exploratory,0.06199289384769109,0.06215422747186101,906,0.003843118887611096,0.13318763029684502
all_906,mean_fcorr_pos_clipped,out_strength,distance+area+cell_type,exploratory,0.05654431365088397,0.08894565815388374,906,0.003197259406249543,0.17032147306062842
all_906,mean_fcorr_pos_clipped,out_strength,distance+area+layer,exploratory,0.06530894360799701,0.049394246888414005,906,0.0042652581151925335,0.11750440771845733
all_906,mean_fcorr_abs,total_degree,raw,exploratory,-0.05484859901962939,0.09896409172559562,906,0.0030083688144160905,0.17851145738331237
all_906,mean_fcorr_abs,total_degree,distance,exploratory,-0.03155901886439563,0.34269887038388924,906,0.0009959716716832793,0.46771736333204333
all_906,mean_fcorr_abs,total_degree,distance+area,exploratory,-0.020508225044421298,0.537560092913128,906,0.00042058729447262894,0.6124102324326774
all_906,mean_fcorr_abs,total_degree,distance+area+cell_type,exploratory,-0.02072000044865501,0.5333670473060836,906,0.00042931841859226386,0.6124102324326774
all_906,mean_fcorr_abs,total_degree,distance+area+layer,exploratory,-0.01911301110159696,0.5655911408907701,906,0.0003653071933697686,0.6362900335021163
all_906,mean_fcorr_abs,total_strength,raw,exploratory,-0.03562102065128989,0.28414852803781027,906,0.001268857112239621,0.40592646862544324
all_906,mean_fcorr_abs,total_strength,distance,exploratory,-0.011071786145514202,0.7392784354943145,906,0.00012258444845200022,0.8114031609083939
all_906,mean_fcorr_abs,total_strength,distance+area,exploratory,-0.003295273450912734,0.9210981598820499,906,1.0858827116290318e-05,0.9459754076576096
all_906,mean_fcorr_abs,total_strength,distance+area+cell_type,exploratory,0.005506735622152318,0.8685313636726203,906,3.0324137212281277e-05,0.9089281712853003
