pre_neuron_id,post_neuron_id,synapse_size
864691134942472035,864691136420195223,400.0
864691134942472035,864691136991202453,5680.0
864691134942472035,864691135397982753,4308.0
864691134942472035,864691135504327861,5424.0
864691134942472035,864691135562798817,11052.0
864691134942472035,864691135566168599,8540.0
864691134942472035,864691135584629613,11572.0
864691134942472035,864691135717163802,4184.0
864691134942472035,864691135732210873,15604.0
864691134942472035,864691135750649129,14364.0
864691134942472035,864691136022520056,4624.0
864691134942472035,864691136092725684,12016.0
864691134942472035,864691136452609023,11800.0
864691136228491601,864691134919869706,13868.0
864691136228491601,864691135102433056,6832.0
864691136228491601,864691135274816017,7824.0
864691136228491601,864691135340055782,17048.0
864691136228491601,864691135384344043,14528.0
864691136228491601,864691135465343045,4116.0
864691136228491601,864691135640297787,14060.0
864691136228491601,864691135727790911,2220.0
864691136228491601,864691135751110185,12316.0
864691136228491601,864691135954393891,5260.0
864691136228491601,864691136033227451,1944.0
864691136228491601,864691136675875719,18132.0
864691136228491601,864691135455400554,5460.0
864691136228491601,864691135743102827,824.0
864691136228491601,864691135810905036,2976.0
864691136228491601,864691136010639022,39684.0
864691136228491601,864691136119885080,5368.0
864691136228491601,864691136137237899,172.0
864691136228491601,864691136523335057,6120.0
864691136228491601,864691136742067804,884.0
864691135468161164,864691135416233914,1160.0
864691135849088094,864691135362104647,14488.0
864691135849088094,864691135479833030,23100.0
864691135849088094,864691135810466333,4652.0
864691135849088094,864691135975824495,3224.0
864691135849088094,864691136967703758,6376.0
864691135849088094,864691136991390869,9812.0
864691135616363211,864691135519106442,30140.0
864691135616363211,864691135610877191,1576.0
864691135616363211,864691135724393131,30276.0
864691135616363211,864691135937286404,2608.0
864691135616363211,864691135952121379,5444.0
864691135616363211,864691136578820884,14712.0
864691135616363211,864691135801604706,5076.0
864691135518989962,864691135430346544,2648.0
864691135518989962,864691135479833030,160.0
864691135518989962,864691135502885954,14876.0
864691135518989962,864691135577644574,3960.0
864691135518989962,864691135656578242,6340.0
864691135518989962,864691135731889337,3760.0
864691135518989962,864691135741524587,10724.0
864691135518989962,864691136013367715,548.0
864691135518989962,864691136389688695,6484.0
864691135518989962,864691136391042167,9204.0
864691135518989962,864691136437631902,9552.0
864691135518989962,864691136602371025,15760.0
864691135518989962,864691135473383730,4236.0
864691135518989962,864691135810308125,5516.0
864691135518989962,864691135849426270,5036.0
864691135877951571,864691135504168285,8932.0
864691135877951571,864691135504203357,1444.0
864691135877951571,864691135757083346,1152.0
864691135877951571,864691136336107187,2524.0
864691135877951571,864691135271038885,8340.0
864691135877951571,864691135342958789,11788.0
864691135877951571,864691135493686111,6832.0
864691135877951571,864691135567059223,4632.0
864691135877951571,864691135584008045,27204.0
864691135877951571,864691135698211994,5584.0
864691135877951571,864691135725748139,3936.0
864691135877951571,864691136452609023,4436.0
864691135877951571,864691136603811281,3928.0
864691136239108156,864691136314491965,2888.0
864691136239108156,864691136675875719,360.0
864691136239108156,864691135493686111,6736.0
864691136210344892,864691135134695328,27580.0
864691136210344892,864691135358995288,29528.0
864691136210344892,864691135517531786,8684.0
864691136210344892,864691135518453642,28672.0
864691136210344892,864691136298045979,11704.0
864691136210344892,864691136311106650,9980.0
864691136006519498,864691135339600102,2732.0
864691136006519498,864691135340055782,4988.0
864691136006519498,864691135375107272,26888.0
864691136006519498,864691135469753426,2948.0
864691136006519498,864691135518173395,3448.0
864691136006519498,864691135540440178,884.0
864691136006519498,864691135727790911,16776.0
864691136006519498,864691135774294603,1356.0
864691136006519498,864691135839932307,25668.0
864691136006519498,864691135839950227,668.0
864691136006519498,864691136034011579,7768.0
864691136006519498,864691136425073455,35872.0
864691136006519498,864691136991202453,4460.0
864691136006519498,864691135258642863,200.0
864691136006519498,864691135271038885,6368.0
864691136006519498,864691135342958789,2796.0
864691136006519498,864691135546902056,2700.0
864691136006519498,864691135919956656,14968.0
864691136006519498,864691136125440038,26432.0
864691136006519498,864691136438717086,27052.0
864691135954393891,864691135340055782,2800.0
864691135954393891,864691135493149927,4464.0
864691135954393891,864691135656674242,2120.0
864691135954393891,864691136006519498,22076.0
864691135954393891,864691136118370724,4216.0
864691135954393891,864691136137794941,1884.0
864691135954393891,864691136425073455,19176.0
864691135954393891,864691136523216017,5348.0
864691135954393891,864691136905758130,2932.0
864691135954393891,864691135258642863,5156.0
864691135954393891,864691135325487004,24264.0
