pre_pt_root_id,post_pt_root_id,synapse_count,synapse_size_sum
864691135118527709,864691136091886516,1,18516.0
864691135118759901,864691135013506294,1,9392.0
864691135118759901,864691135213462656,1,252.0
864691135118759901,864691135590942219,1,6380.0
864691135118759901,864691135688249312,1,1600.0
864691135118759901,864691135748985385,1,4128.0
864691135118759901,864691135947604772,1,14268.0
864691135118759901,864691136124424742,1,2624.0
864691135118831325,864691135294356918,1,576.0
864691135118831325,864691135468787026,1,7284.0
864691135118831325,864691135725145515,1,7828.0
864691135118831325,864691135874038926,2,8016.0
864691135118831325,864691136194605782,1,15684.0
864691135118831325,864691136724539389,1,8360.0
864691135118831325,864691136742067804,1,24560.0
864691135122458151,864691135719432241,1,7932.0
864691135123043111,864691135498826771,1,856.0
864691135123125031,864691135800896610,1,456.0
864691135123341607,864691136238372412,1,304.0
864691135123341607,864691136451377407,1,27352.0
864691135133180320,864691135977134403,1,5964.0
864691135133180320,864691136176339718,1,5624.0
864691135133383840,864691135182508802,3,51652.0
864691135133383840,864691135367723513,1,28256.0
864691135133383840,864691135498332947,1,24780.0
864691135133383840,864691135741175915,1,2448.0
864691135133383840,864691135889558153,2,7524.0
864691135133383840,864691136040153854,1,1500.0
864691135133383840,864691136041512790,1,440.0
864691135133383840,864691136741438556,1,3704.0
864691135133494944,864691134887418874,1,2848.0
864691135133494944,864691135855767342,1,2196.0
864691135134091424,864691135294539446,1,8172.0
864691135134091424,864691135479024582,1,288.0
864691135134091424,864691135489438522,1,2272.0
864691135134091424,864691135565602839,1,12964.0
864691135134091424,864691135640519995,1,4344.0
864691135134091424,864691135717271834,1,3676.0
864691135134091424,864691135839929235,1,5912.0
864691135134091424,864691135915943014,1,4444.0
864691135134091424,864691135942004993,1,1612.0
864691135134091424,864691136452602367,1,27464.0
864691135134114976,864691135059450779,1,2544.0
864691135134114976,864691135082303223,1,2788.0
864691135134114976,864691135137137433,1,1904.0
864691135134114976,864691135257122479,1,10344.0
864691135134114976,864691135270418085,1,2440.0
864691135134114976,864691135292980662,1,5712.0
864691135134114976,864691135293586956,1,9432.0
864691135134114976,864691135339103718,1,18016.0
864691135134114976,864691135468787026,1,3188.0
864691135134114976,864691135479024582,2,9920.0
864691135134114976,864691135492216415,1,2060.0
864691135134114976,864691135498496531,1,7216.0
864691135134114976,864691135509698057,1,3144.0
864691135134114976,864691135572282917,1,12488.0
864691135134114976,864691135618724239,2,5540.0
864691135134114976,864691135640227131,1,2172.0
864691135134114976,864691135655141058,1,900.0
864691135134114976,864691135655168706,1,5292.0
864691135134114976,864691135700855419,1,1168.0
864691135134114976,864691135701207163,1,5836.0
864691135134114976,864691135749099561,2,6468.0
864691135134114976,864691135762574646,1,2936.0
864691135134114976,864691135772430155,1,5988.0
864691135134114976,864691135856072494,1,3308.0
864691135134114976,864691135860969064,1,2476.0
864691135134114976,864691135874501774,1,2704.0
864691135134114976,864691135926593294,1,21620.0
864691135134114976,864691135938534453,1,9360.0
864691135134114976,864691135946646113,1,204.0
864691135134114976,864691135948237921,2,24152.0
864691135134114976,864691136024395321,1,7156.0
864691135134114976,864691136092769460,1,560.0
864691135134114976,864691136106008281,1,3276.0
864691135134114976,864691136108715960,1,2912.0
864691135134114976,864691136137658493,2,6988.0
864691135134114976,864691136310616410,1,2372.0
864691135134114976,864691136371580552,1,4164.0
864691135134114976,864691136379209429,1,2748.0
864691135134114976,864691136989941653,1,2404.0
864691135134114976,864691137197751617,2,34872.0
864691135134155168,864691135212424384,1,2036.0
864691135134155168,864691135416294074,1,4260.0
864691135134155168,864691135570156934,1,5352.0
864691135134155168,864691135655103682,1,192.0
864691135134155168,864691136334080435,1,5548.0
864691135134155168,864691136484965164,1,23124.0
864691135134155168,864691136595448738,1,1176.0
864691135134695328,864691134941328739,1,49000.0
864691135134695328,864691134989053818,1,4088.0
864691135134695328,864691135308163654,1,1232.0
864691135134695328,864691135342027717,1,3016.0
864691135134695328,864691135408560329,1,1236.0
864691135134695328,864691135472970034,1,2044.0
864691135134695328,864691135475821376,1,48308.0
864691135134695328,864691135502462389,1,4760.0
864691135134695328,864691135565539863,1,24912.0
864691135134695328,864691135582505325,1,13100.0
864691135134695328,864691135616363211,1,14448.0
864691135134695328,864691135741175915,1,6024.0
864691135134695328,864691135915709030,1,4348.0
864691135134695328,864691136084684396,1,5492.0
864691135134695328,864691136110005176,1,2876.0
864691135134695328,864691136175540742,1,3912.0
864691135134695328,864691136444381059,1,2580.0
864691135134695328,864691136522623377,1,10788.0
864691135134695328,864691136724803581,1,20316.0
864691135134695328,864691136811814771,1,20100.0
864691135134695328,864691136952851679,1,304.0
864691135134695328,864691137054807414,1,11628.0
864691135134921888,864691135101595680,1,6456.0
864691135134921888,864691135118351837,1,4168.0
864691135134921888,864691135214931072,2,3336.0
864691135134921888,864691135294507190,1,256.0
864691135134921888,864691135386226517,1,8760.0
864691135134921888,864691135470700626,1,1532.0
864691135134921888,864691136523118481,1,5172.0
