pre_pt_root_id,post_pt_root_id,size
864691134942472035,864691135409856713,4420.0
864691134942472035,864691135448017554,4816.0
864691134942472035,864691135573296677,1872.0
864691134942472035,864691135584019053,5716.0
864691134942472035,864691135616235979,4616.0
864691134942472035,864691135741524587,17464.0
864691134942472035,864691135742826603,772.0
864691134942472035,864691135756844242,9064.0
864691134942472035,864691135779629245,264.0
864691134942472035,864691135853198023,35424.0
864691134942472035,864691135885911920,2552.0
864691134942472035,864691136011600302,8288.0
864691134942472035,864691136013367715,2520.0
864691134942472035,864691136107283417,3148.0
864691134942472035,864691136298913563,4840.0
864691134942472035,864691136299026971,4188.0
864691134942472035,864691136314120765,4572.0
864691134942472035,864691136420195223,400.0
864691134942472035,864691136596060322,6148.0
864691134942595939,864691135015154934,1816.0
864691134942595939,864691135210446457,2624.0
864691134942595939,864691135274355473,7112.0
864691134942595939,864691135309628742,8364.0
864691134942595939,864691135340055782,15708.0
864691134942595939,864691135347627423,1136.0
864691134942595939,864691135430346544,3840.0
864691134942595939,864691135448698196,16112.0
864691134942595939,864691135456207722,3244.0
864691134942595939,864691135464995134,8960.0
864691134942595939,864691135571192966,928.0
864691134942595939,864691135586724220,12104.0
864691134942595939,864691135587532924,5728.0
864691134942595939,864691135595810859,3300.0
864691134942595939,864691135741998484,7124.0
864691134942595939,864691135742609771,6580.0
864691134942595939,864691135756075981,5328.0
864691134942595939,864691135773208651,11484.0
864691134942595939,864691135778542509,3564.0
864691134942595939,864691135886132080,2040.0
864691134942595939,864691135938404612,1752.0
864691134942595939,864691136011600302,2844.0
864691134942595939,864691136013554851,8336.0
864691134942595939,864691136034464443,5212.0
864691134942595939,864691136041321982,8356.0
864691134942595939,864691136238090767,1828.0
864691134942595939,864691136314120765,6748.0
864691134942595939,864691136390905207,18684.0
864691134942595939,864691136618795227,216.0
864691134942595939,864691136619693275,180.0
864691134948788476,864691135084038647,8468.0
864691134948788476,864691135106189901,20392.0
864691134948788476,864691135134016928,6088.0
864691134948788476,864691135214653240,1784.0
864691134948788476,864691135271915173,14736.0
864691134948788476,864691135304679079,18680.0
864691134948788476,864691135562780385,1796.0
864691134948788476,864691135662774512,1832.0
864691134948788476,864691135853198023,4756.0
864691134948788476,864691135929072340,2920.0
864691134948788476,864691136312445786,7088.0
864691134948788476,864691136314120765,5584.0
864691134948788476,864691136453186559,9784.0
864691134948788476,864691136814627955,6272.0
864691134949041148,864691135417307322,1700.0
864691134949081852,864691135015154934,13148.0
864691134949081852,864691135196475434,3404.0
864691134949081852,864691135274860561,1804.0
864691134949081852,864691135448017554,5804.0
864691134949081852,864691135478434216,2668.0
864691134949081852,864691135595810859,8644.0
864691134949081852,864691135702887291,3696.0
864691134949081852,864691135703164283,3148.0
864691134949081852,864691135741874836,1700.0
864691134949081852,864691135760635214,19440.0
864691134949081852,864691135858298670,800.0
864691134949081852,864691136107283417,2072.0
864691134949081852,864691136108462553,1580.0
864691134949081852,864691136196202472,25420.0
